Category,Code,Code_Description
ActorCode,10,character
ArenaType,0,none
ArenaType,1,normal
ArenaType,2,guild combat
ArenaType,3,sparring
ArenaType,4,unrated match
ArenaType,5,championship
AuctionTypeCode,0,none
AuctionTypeCode,1,auction
AuctionTypeCode,2,buy-it-now
ChallengeTypeCode,1,ChallengeToday
ChallengeTypeCode,2,non-Challenge
ChallengeTypeCode,3,ChallengeWeek
ChangeItemLookCode,1,change
ChangeItemLookCode,2,Re-change
ChangeItemLookCode,3,remove
CharacterDeleteCode,0,none
CharacterDeleteCode,1,request
CharacterDeleteCode,2,complete
DistributionCode,0,none
DistributionCode,3,OverItemGradeRefined
DistributionCode,4,OverItemGradeSuperior
DistributionCode,5,OverItemGradeHeroic
DistributionCode,6,OverItemGradeLegendary
DuelResultCode,0,none
DuelResultCode,1,Win
DuelResultCode,2,Lose
DuelResultCode,3,"tie, draw"
DuelResultCode,4,Disconnected
DuelTypeCode,0,none
DuelTypeCode,1,death-match-1vs1
DuelTypeCode,4,tag-match-3vs3
DuelTypeCode,5,unrated-death-match-1vs1
DuelTypeCode,6,unrated-tag-match-3vs3
EnterZoneReasonCode,0,none
EnterZoneReasonCode,1,enter-world
EnterZoneReasonCode,2,zone-transit
EnterZoneReasonCode,3,revive
EnterZoneReasonCode,4,npc-spawn
EnterZoneReasonCode,5,return
EnterZoneReasonCode,6,ReturnFromArena
EnterZoneReasonCode,7,EnterArena
EnterZoneReasonCode,8,EnterHongmoonTraining
EntityCode,0,none
EntityCode,20,item
EntityCode,21,money
EntityCode,24,faction-score
EntityCode,25,duel-point
EntityCode,26,party-battle-point
EntityCode,27,field-play-point
EntityCode,30,npc
EntityCode,33,summoned
EntityCode,40,skill
EntityCode,50,quest
EntityCode,63,faction-coin
EntityCode,64,guild
EntityCode,76,teleport
EntityCode,79,duel
EntityCode,80,Battle
ExpReasonCode,0,none
ExpReasonCode,1,kill-npc
ExpReasonCode,2,quest
ExpReasonCode,3,builder
ExpReasonCode,4,debug-command
ExpReasonCode,5,duel
ExpReasonCode,6,party-battle
ExpReasonCode,7,use item
EXPTypeCode,0,none
EXPTypeCode,1,main-faction-reputation
EXPTypeCode,2,gathering-exp
EXPTypeCode,3,production-exp
Faction2Code,0,none
Faction2Code,9,Hongmoon
Faction2Code,10,Dark
FactionCode,0,none
FactionCode,1,faction-main1
FactionCode,2,faction-main2
GenderCode,1,male
GenderCode,2,female
GeoZoneTypeCode,0,none
GeoZoneTypeCode,101,ViridianCoast
GeoZoneTypeCode,102,Cinderlands
GeoZoneTypeCode,103,MoonwaterPlains
GeoZoneTypeCode,104,SilverfrostMountains
GeoZoneTypeCode,105,KhandaVihar
GeoZoneTypeCode,106,GunwonCity
GeoZoneTypeCode,107,Seolak
GeoZoneTypeCode,108,Heaven'sReach
GeoZoneTypeCode,109,Heaven'sReach_event
GeoZoneTypeCode,110,InterserverSquare
GeoZoneTypeCode,111,HongmoonTrainingRoom
GeoZoneTypeCode,112,Arena
GetLootMoneyCode,1,Solo
GetLootMoneyCode,2,Party
GetLootMoneyCode,3,Team
GetMoneyReasonCode,100,None
GetMoneyReasonCode,101,GetLootMoney
GetMoneyReasonCode,102,GetMoneyPostUnknown
GetMoneyReasonCode,103,GetMoneyPostFromUser
GetMoneyReasonCode,104,GetMoneyPostFromTool
GetMoneyReasonCode,105,GetMoneyPostGathering
GetMoneyReasonCode,106,GetMoneyPostProduction
GetMoneyReasonCode,107,GetMoneyPostSaleSuccess
GetMoneyReasonCode,108,GetMoneyPostBidLoser
GetMoneyReasonCode,109,GetMoneyPostBidAbandonment
GetMoneyReasonCode,110,ReceiveExpressPostFail
GetMoneyReasonCode,111,ProductionFail
GetMoneyReasonCode,112,CreateGuildFail
GetMoneyReasonCode,114,DepositMoneyInGuildBankFail
